Content-Type: text/x-zim-wiki
Wiki-Format: zim 0.4
Creation-Date: 2018-10-09T14:11:49+03:00

====== сборная солянка ======
Created Tuesday 09 October 2018

 сортировка станций/систем по удаленности от LHS 3447
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 Haxel Port	 LTT 15574	Federation	L	668 ls	4 mins	16.43 ly
 Qurra Ring	 Eta Serpentis	Federation	L	2,122 ls	11 hours	18.87 ly
 Qurra Ring	 Eta Serpentis	Federation	L	2,122 ls	11 hours	18.87 ly
 Qurra Ring	 Eta Serpentis	Federation	L	2,122 ls	11 hours	18.87 ly
 Qurra Ring	 Eta Serpentis	Federation	L	2,122 ls	11 hours	18.87 ly
 Qurra Ring	 Eta Serpentis	Federation	L	2,122 ls	11 hours	18.87 ly
 Blaylock Enterprise	 V1688 Aquilae	Federation	L	515 ls	2 days	19.53 ly
 Blaylock Enterprise	 V1688 Aquilae	Federation	L	515 ls	2 days	19.53 ly
 Blaylock Enterprise	 V1688 Aquilae	Federation	L	515 ls	2 days	19.53 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Galouye Terminal	 Obambivas	Independent	L	431 ls	1 day	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Clebsch Terminal	 Obambivas	Federation	L	593 ls	3 days	21.00 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Weyn Port	 BD-10 5238	Federation	L	3,142 ls	3 days	21.05 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	26 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	22 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	28 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	22 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	31 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	21 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	34 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	23 mins	22.47 ly
 Olivas City	 LHS 3505	Federation	L	2,703 ls	24 mins	22.47 ly
 Wallace Dock	 Mikinn	Independent	L	331 ls	17 hours	22.64 ly
 McCulley Ring	 Wolf 865	Federation	L	1,553 ls	21 hours	23.01 ly
